hostname,latency_ms,result,errstr
trackcheatingspouse.com,0.041,FAIL,Temporary failure in name resolution
uca.edu,0.035,FAIL,Temporary failure in name resolution
urbannetwork.co.uk,0.036,FAIL,Temporary failure in name resolution
verlockeshop.de,0.037,FAIL,Temporary failure in name resolution
video-peche-poisson.fr,0.036,FAIL,Temporary failure in name resolution
vietcapitaltour.com,0.043,FAIL,Temporary failure in name resolution
virtualjerusalem.com,0.070,FAIL,Temporary failure in name resolution
vlielandoutdoorcenter.nl,0.037,FAIL,Temporary failure in name resolution
vpndefender.com,0.037,FAIL,Temporary failure in name resolution
wpad,0.026,FAIL,Temporary failure in name resolution
ximangquantrieu.com,0.035,FAIL,Temporary failure in name resolution
zpav.pl,0.035,FAIL,Temporary failure in name resolution
