hostname,latency_ms,result,errstr
jcwcn.com,0.018,FAIL,Temporary failure in name resolution
k-dsl.de,0.019,FAIL,Temporary failure in name resolution
ku.edu,0.017,FAIL,Temporary failure in name resolution
lacuentaperdida.org,0.018,FAIL,Temporary failure in name resolution
lgmonitorreview.nl,0.021,FAIL,Temporary failure in name resolution
lighthouse.cc,0.024,FAIL,Temporary failure in name resolution
likeminded.ca,0.019,FAIL,Temporary failure in name resolution
ljyelectronic.com,0.021,FAIL,Temporary failure in name resolution
lookpage.org,0.018,FAIL,Temporary failure in name resolution
mattselznick.com,0.018,FAIL,Temporary failure in name resolution
meintrendyhandy.de,0.017,FAIL,Temporary failure in name resolution
metabans.com,0.023,FAIL,Temporary failure in name resolution
motiie.com,0.018,FAIL,Temporary failure in name resolution
mplus.hk,0.017,FAIL,Temporary failure in name resolution
mpskota.com,0.017,FAIL,Temporary failure in name resolution
mptrmkwart,0.011,FAIL,Temporary failure in name resolution
mumphi.de,0.017,FAIL,Temporary failure in name resolution
newpages2u.com,0.017,FAIL,Temporary failure in name resolution
nipslab.org,0.018,FAIL,Temporary failure in name resolution
nucre.com,0.022,FAIL,Temporary failure in name resolution
oberoncompany.com,0.018,FAIL,Temporary failure in name resolution
obtscan.com,0.017,FAIL,Temporary failure in name resolution
ohdev.co.uk,0.020,FAIL,Temporary failure in name resolution
ovtoc.com,0.018,FAIL,Temporary failure in name resolution
panaceadream.com,0.020,FAIL,Temporary failure in name resolution
phoenix-music.ru,0.018,FAIL,Temporary failure in name resolution
qdushu.com,0.022,FAIL,Temporary failure in name resolution
qingjiaopidaiji.com,0.018,FAIL,Temporary failure in name resolution
raqualia.com,0.018,FAIL,Temporary failure in name resolution
redcrosseth.org,0.018,FAIL,Temporary failure in name resolution
rousing.dk,0.018,FAIL,Temporary failure in name resolution
sandieskorner.com,0.018,FAIL,Temporary failure in name resolution
seedy.dk,0.040,FAIL,Temporary failure in name resolution
simple-health-reports.com,0.025,FAIL,Temporary failure in name resolution
sinemagrafik.com,0.020,FAIL,Temporary failure in name resolution
sscw.ee,0.018,FAIL,Temporary failure in name resolution
stopallthathating.com,0.025,FAIL,Temporary failure in name resolution
supreetsethi.net,0.018,FAIL,Temporary failure in name resolution
thankfullyyours.com,0.019,FAIL,Temporary failure in name resolution
thereeftank.com,0.017,FAIL,Temporary failure in name resolution
thunderex.com,0.021,FAIL,Temporary failure in name resolution
ticketbis.com,0.018,FAIL,Temporary failure in name resolution
tomorrowsreflection.com,0.019,FAIL,Temporary failure in name resolution
tonaci.com,0.017,FAIL,Temporary failure in name resolution
topilehtipuu.com,0.017,FAIL,Temporary failure in name resolution
tretsomshop.nl,0.023,FAIL,Temporary failure in name resolution
tsksv.ru,0.017,FAIL,Temporary failure in name resolution
uanet.net,0.022,FAIL,Temporary failure in name resolution
udoo24.com,0.017,FAIL,Temporary failure in name resolution
vaco.ru,0.017,FAIL,Temporary failure in name resolution
valerievandenbroek.nl,0.020,FAIL,Temporary failure in name resolution
visualtap.com,0.018,FAIL,Temporary failure in name resolution
volksschule-neufahrn.de,0.018,FAIL,Temporary failure in name resolution
webxtrap.com,0.075,FAIL,Temporary failure in name resolution
womenology.com,0.035,FAIL,Temporary failure in name resolution
wpad,0.017,FAIL,Temporary failure in name resolution
xqgcab.com,0.018,FAIL,Temporary failure in name resolution
youngsnetwork.it,0.018,FAIL,Temporary failure in name resolution
zamlelova.ru,0.018,FAIL,Temporary failure in name resolution
zilch.org,0.019,FAIL,Temporary failure in name resolution
