hostname,latency_ms,result,errstr
51cdngo.com,0.180,FAIL,Temporary failure in name resolution
7sports.jp,0.024,FAIL,Temporary failure in name resolution
a-loud.com,0.020,FAIL,Temporary failure in name resolution
alkoholiker-clan.de,0.022,FAIL,Temporary failure in name resolution
alltransport.ru,0.019,FAIL,Temporary failure in name resolution
ambassadorsspfhf.org,0.019,FAIL,Temporary failure in name resolution
amedeos.net,0.018,FAIL,Temporary failure in name resolution
androgyn.org,0.019,FAIL,Temporary failure in name resolution
asip.es,0.019,FAIL,Temporary failure in name resolution
aspiringwriter.ca,0.022,FAIL,Temporary failure in name resolution
atomicbase.com,0.019,FAIL,Temporary failure in name resolution
bek.ir,0.018,FAIL,Temporary failure in name resolution
bigjournalism.com,0.022,FAIL,Temporary failure in name resolution
brfone.com,0.017,FAIL,Temporary failure in name resolution
brown.edu,0.018,FAIL,Temporary failure in name resolution
c3budiman.tk,0.019,FAIL,Temporary failure in name resolution
capella.edu,0.018,FAIL,Temporary failure in name resolution
casco.com,0.017,FAIL,Temporary failure in name resolution
cellularfactory.com,0.018,FAIL,Temporary failure in name resolution
cncdesign.co.kr,0.020,FAIL,Temporary failure in name resolution
congsoxanh.com,0.019,FAIL,Temporary failure in name resolution
consejodentistas.org,0.019,FAIL,Temporary failure in name resolution
cornesoft.com,0.019,FAIL,Temporary failure in name resolution
datadikdki.net,0.018,FAIL,Temporary failure in name resolution
djoncbjcmv,0.015,FAIL,Temporary failure in name resolution
doommovie.com,0.018,FAIL,Temporary failure in name resolution
elettronix.com,0.018,FAIL,Temporary failure in name resolution
fanzi.pl,0.019,FAIL,Temporary failure in name resolution
fauzanalfi.com,0.018,FAIL,Temporary failure in name resolution
gamepsvita.com,0.018,FAIL,Temporary failure in name resolution
gaybodyblog.com,0.020,FAIL,Temporary failure in name resolution
gba4iosapp.com,0.020,FAIL,Temporary failure in name resolution
gmxwnlajnl,0.012,FAIL,Temporary failure in name resolution
gucenmez.com,0.020,FAIL,Temporary failure in name resolution
gvowebcast.com,0.018,FAIL,Temporary failure in name resolution
heygal.net,0.019,FAIL,Temporary failure in name resolution
hivelocitymedia.com,0.018,FAIL,Temporary failure in name resolution
horn-elektronik.com,0.019,FAIL,Temporary failure in name resolution
hotel.ch,0.018,FAIL,Temporary failure in name resolution
huhgmbh.com,0.019,FAIL,Temporary failure in name resolution
hznzcn.com,0.017,FAIL,Temporary failure in name resolution
i12.de,0.018,FAIL,Temporary failure in name resolution
isatap,0.011,FAIL,Temporary failure in name resolution
isilon,0.011,FAIL,Temporary failure in name resolution
itattoos.org,0.018,FAIL,Temporary failure in name resolution
jabeye.org,0.017,FAIL,Temporary failure in name resolution
