hostname,latency_ms,result,errstr
120shenbing.com,0.480,FAIL,Temporary failure in name resolution
22hotmail.com,0.735,FAIL,Temporary failure in name resolution
2xfzy.com,0.071,FAIL,Temporary failure in name resolution
7apcrshrmanila.org,0.040,FAIL,Temporary failure in name resolution
abhair.com,0.092,FAIL,Temporary failure in name resolution
adverman.com,0.042,FAIL,Temporary failure in name resolution
alb-automobiles.com,0.038,FAIL,Temporary failure in name resolution
ana-sofia.pt,0.041,FAIL,Temporary failure in name resolution
arrabonet.hu,0.035,FAIL,Temporary failure in name resolution
auto-klad.ru,0.039,FAIL,Temporary failure in name resolution
b2b2c.ca,0.036,FAIL,Temporary failure in name resolution
bhhsneproperties.com,0.035,FAIL,Temporary failure in name resolution
boh10suphanburi.com,0.036,FAIL,Temporary failure in name resolution
boneshoppe.com,0.035,FAIL,Temporary failure in name resolution
breezelaw.com,0.036,FAIL,Temporary failure in name resolution
c0.pl,0.036,FAIL,Temporary failure in name resolution
capequilog.com,0.033,FAIL,Temporary failure in name resolution
carolgraykennedy.com,0.038,FAIL,Temporary failure in name resolution
celerity.com,0.034,FAIL,Temporary failure in name resolution
cellslider.net,0.035,FAIL,Temporary failure in name resolution
closerdiets.com,0.034,FAIL,Temporary failure in name resolution
contentremarketing.com,0.036,FAIL,Temporary failure in name resolution
daytimeghosthunter.com,0.034,FAIL,Temporary failure in name resolution
deine-bahn.de,0.038,FAIL,Temporary failure in name resolution
divefishhouse.com,0.074,FAIL,Temporary failure in name resolution
djbarryblends.com,0.036,FAIL,Temporary failure in name resolution
djoncbjcmv,0.038,FAIL,Temporary failure in name resolution
dmg-dental.com,0.037,FAIL,Temporary failure in name resolution
empclan.com,0.041,FAIL,Temporary failure in name resolution
ereadz.com,0.034,FAIL,Temporary failure in name resolution
florenseusa.com,0.036,FAIL,Temporary failure in name resolution
frasesdemotivacao.net,0.034,FAIL,Temporary failure in name resolution
freepornvideosx.com,0.062,FAIL,Temporary failure in name resolution
gaplex.biz,0.060,FAIL,Temporary failure in name resolution
gardeninginflorida.com,0.041,FAIL,Temporary failure in name resolution
gmxwnlajnl,0.025,FAIL,Temporary failure in name resolution
go2jump.com,0.036,FAIL,Temporary failure in name resolution
godo.co.kr,0.037,FAIL,Temporary failure in name resolution
grandcanyongrandhotel.com,0.035,FAIL,Temporary failure in name resolution
greens.my,0.034,FAIL,Temporary failure in name resolution
gurukulonline.com,0.035,FAIL,Temporary failure in name resolution
gustissimo.it,0.033,FAIL,Temporary failure in name resolution
hackthissite.org,0.074,FAIL,Temporary failure in name resolution
ilikecrochet.com,0.038,FAIL,Temporary failure in name resolution
iointegrators.com,0.038,FAIL,Temporary failure in name resolution
irflashgame.com,0.034,FAIL,Temporary failure in name resolution
isatap,0.023,FAIL,Temporary failure in name resolution
isilon,0.022,FAIL,Temporary failure in name resolution
itgeorgia.co,0.033,FAIL,Temporary failure in name resolution
jacquelinemertz.ch,0.036,FAIL,Temporary failure in name resolution
kanoon-ansar.org,0.040,FAIL,Temporary failure in name resolution
kiyimuzik.com,0.036,FAIL,Temporary failure in name resolution
koopsmodellbau.de,0.035,FAIL,Temporary failure in name resolution
lespetiteschoses.com,0.034,FAIL,Temporary failure in name resolution
livescan4all.com,0.032,FAIL,Temporary failure in name resolution
magic-illusion.ru,0.035,FAIL,Temporary failure in name resolution
majorleaguelacrosse.com,0.035,FAIL,Temporary failure in name resolution
medintime.ru,0.038,FAIL,Temporary failure in name resolution
meditekyazilim.net,0.035,FAIL,Temporary failure in name resolution
megi.cz,0.033,FAIL,Temporary failure in name resolution
millionfareast.com,0.034,FAIL,Temporary failure in name resolution
miscellaneousheathen.com,0.034,FAIL,Temporary failure in name resolution
mptrmkwart,0.022,FAIL,Temporary failure in name resolution
msf.be,0.032,FAIL,Temporary failure in name resolution
muhammedmusa.com,0.042,FAIL,Temporary failure in name resolution
myface.com,0.034,FAIL,Temporary failure in name resolution
myfantasticpark.es,0.034,FAIL,Temporary failure in name resolution
ngoanhien.com,0.034,FAIL,Temporary failure in name resolution
njafe.org,0.034,FAIL,Temporary failure in name resolution
oberandsons.com,0.035,FAIL,Temporary failure in name resolution
ok-magazine.ru,0.035,FAIL,Temporary failure in name resolution
onetoshop.nl,0.039,FAIL,Temporary failure in name resolution
oneworldinfo.com,0.034,FAIL,Temporary failure in name resolution
originalmagicart.com,0.034,FAIL,Temporary failure in name resolution
overseasmedical.com,0.033,FAIL,Temporary failure in name resolution
pces.in,0.034,FAIL,Temporary failure in name resolution
pilsnerurquell.com,0.032,FAIL,Temporary failure in name resolution
ranocchi.it,0.035,FAIL,Temporary failure in name resolution
roche-applied-science.com,0.057,FAIL,Temporary failure in name resolution
rolflouisville.com,0.032,FAIL,Temporary failure in name resolution
rositehost.com,0.034,FAIL,Temporary failure in name resolution
rubenquinones.com,0.033,FAIL,Temporary failure in name resolution
saharaimport.com,0.032,FAIL,Temporary failure in name resolution
sapendolo.it,0.032,FAIL,Temporary failure in name resolution
sf-notifications.com,0.034,FAIL,Temporary failure in name resolution
silkroadtours.com,0.042,FAIL,Temporary failure in name resolution
sipflash.com,0.032,FAIL,Temporary failure in name resolution
sitiweb.us,0.033,FAIL,Temporary failure in name resolution
skplus.kr,0.044,FAIL,Temporary failure in name resolution
solcredito.es,0.033,FAIL,Temporary failure in name resolution
stark.dk,0.037,FAIL,Temporary failure in name resolution
supportpabiomass.org,0.032,FAIL,Temporary failure in name resolution
sweathelp.org,0.043,FAIL,Temporary failure in name resolution
theexoticpersian.com,0.033,FAIL,Temporary failure in name resolution
