hostname,latency_ms,result,errstr
thepropertyvault.co.uk,0.034,FAIL,Temporary failure in name resolution
tripladoppia.com,0.034,FAIL,Temporary failure in name resolution
ugotrelis.com,0.064,FAIL,Temporary failure in name resolution
valdo.com,0.036,FAIL,Temporary failure in name resolution
viahttps.com,0.046,FAIL,Temporary failure in name resolution
videofun.me,0.042,FAIL,Temporary failure in name resolution
vinayaprabha.com,0.061,FAIL,Temporary failure in name resolution
wiltpr.com,0.037,FAIL,Temporary failure in name resolution
wordai.com,0.034,FAIL,Temporary failure in name resolution
wpad,0.022,FAIL,Temporary failure in name resolution
xxx-muschis.de,0.032,FAIL,Temporary failure in name resolution
yunpda.com,0.032,FAIL,Temporary failure in name resolution
