hostname,latency_ms,result,errstr
2brightsparks.co.uk,0.695,FAIL,Temporary failure in name resolution
41latitude.com,0.127,FAIL,Temporary failure in name resolution
7dfps.com,0.100,FAIL,Temporary failure in name resolution
advertos.ru,0.038,FAIL,Temporary failure in name resolution
afairjudgement.com,0.063,FAIL,Temporary failure in name resolution
afresnohomeinspector.com,0.038,FAIL,Temporary failure in name resolution
alchemedialtd.com,0.048,FAIL,Temporary failure in name resolution
alenpuaca.com,0.057,FAIL,Temporary failure in name resolution
amorefieldlife.com,0.038,FAIL,Temporary failure in name resolution
aqvr.com,0.036,FAIL,Temporary failure in name resolution
asadventure.com,0.035,FAIL,Temporary failure in name resolution
astrumonline.ru,0.036,FAIL,Temporary failure in name resolution
auqzzx.com,0.035,FAIL,Temporary failure in name resolution
australiatradenow.com,0.044,FAIL,Temporary failure in name resolution
autofirenze.biz,0.037,FAIL,Temporary failure in name resolution
b-matrix.com,0.034,FAIL,Temporary failure in name resolution
bikesandtransit.com,0.050,FAIL,Temporary failure in name resolution
blueridgelife.com,0.047,FAIL,Temporary failure in name resolution
buynowfromusa.com,0.038,FAIL,Temporary failure in name resolution
camcard.com,0.037,FAIL,Temporary failure in name resolution
caricsports.com,0.040,FAIL,Temporary failure in name resolution
cetsi.fr,0.034,FAIL,Temporary failure in name resolution
chonvn.com,0.033,FAIL,Temporary failure in name resolution
chuamatsua.com,0.037,FAIL,Temporary failure in name resolution
coutureauchocolat.com,0.035,FAIL,Temporary failure in name resolution
daehepharma.com,0.035,FAIL,Temporary failure in name resolution
datepanchang.com,0.033,FAIL,Temporary failure in name resolution
diamondknot.com,0.040,FAIL,Temporary failure in name resolution
ditrblog.com,0.033,FAIL,Temporary failure in name resolution
dj-producer-j-mbargo.com,0.035,FAIL,Temporary failure in name resolution
djoncbjcmv,0.031,FAIL,Temporary failure in name resolution
door2games.com,0.034,FAIL,Temporary failure in name resolution
effexdjs.com,0.035,FAIL,Temporary failure in name resolution
energybulbs.co.uk,0.036,FAIL,Temporary failure in name resolution
eugenbotnar.com,0.035,FAIL,Temporary failure in name resolution
ex-jw.org,0.085,FAIL,Temporary failure in name resolution
fini.net,0.057,FAIL,Temporary failure in name resolution
forpsi.net,0.039,FAIL,Temporary failure in name resolution
gamemob.com,0.036,FAIL,Temporary failure in name resolution
gensee.com,0.034,FAIL,Temporary failure in name resolution
globalpoliticalspectrum.com,0.035,FAIL,Temporary failure in name resolution
gmxwnlajnl,0.022,FAIL,Temporary failure in name resolution
group14eng.com,0.042,FAIL,Temporary failure in name resolution
gusbi.com,0.034,FAIL,Temporary failure in name resolution
healthnews4you.com,0.034,FAIL,Temporary failure in name resolution
