hostname,latency_ms,result,errstr
hemcolubricants.com,0.035,FAIL,Temporary failure in name resolution
hornil.com,0.035,FAIL,Temporary failure in name resolution
house-sg.com,0.217,FAIL,Temporary failure in name resolution
i-butterfly.ru,0.037,FAIL,Temporary failure in name resolution
iag-inc.com,0.041,FAIL,Temporary failure in name resolution
informarexresistere.fr,0.037,FAIL,Temporary failure in name resolution
interfloracentral.co.uk,0.037,FAIL,Temporary failure in name resolution
isatap,0.022,FAIL,Temporary failure in name resolution
isilon,0.022,FAIL,Temporary failure in name resolution
jantv.in,0.034,FAIL,Temporary failure in name resolution
junio.com,0.046,FAIL,Temporary failure in name resolution
kathihill.com,0.036,FAIL,Temporary failure in name resolution
kennethehartman.com,0.045,FAIL,Temporary failure in name resolution
kh.ua,0.037,FAIL,Temporary failure in name resolution
khsm.ru,0.034,FAIL,Temporary failure in name resolution
linksplash.info,0.033,FAIL,Temporary failure in name resolution
livelinks.com,0.035,FAIL,Temporary failure in name resolution
localhost.re,0.033,FAIL,Temporary failure in name resolution
lozo.com,0.034,FAIL,Temporary failure in name resolution
luckypuppygames.com,0.037,FAIL,Temporary failure in name resolution
memeblender.com,0.067,FAIL,Temporary failure in name resolution
mesites.co.za,0.038,FAIL,Temporary failure in name resolution
michiganbulb.com,0.037,FAIL,Temporary failure in name resolution
monsterhomesecuritystore.com,0.037,FAIL,Temporary failure in name resolution
mptrmkwart,0.023,FAIL,Temporary failure in name resolution
mwzip.com,0.034,FAIL,Temporary failure in name resolution
mysearch-online.com,0.035,FAIL,Temporary failure in name resolution
newstetic.com,0.189,FAIL,Temporary failure in name resolution
niceinternetmoney.ru,0.043,FAIL,Temporary failure in name resolution
o-ov.com,0.040,FAIL,Temporary failure in name resolution
ondemandappliancerepair.com,0.041,FAIL,Temporary failure in name resolution
owlcreek.com,0.258,FAIL,Temporary failure in name resolution
pbprofile.com,0.042,FAIL,Temporary failure in name resolution
phi-pe.com,0.038,FAIL,Temporary failure in name resolution
pictures-thailand.com,0.044,FAIL,Temporary failure in name resolution
pieceinch.com,0.038,FAIL,Temporary failure in name resolution
portclydegeneralstore.com,0.038,FAIL,Temporary failure in name resolution
ppsuika.ac.id,0.037,FAIL,Temporary failure in name resolution
probigbets.com,0.037,FAIL,Temporary failure in name resolution
progettogiovani.pd.it,0.043,FAIL,Temporary failure in name resolution
radioterminal.ru,0.050,FAIL,Temporary failure in name resolution
reprosystems.ru,0.045,FAIL,Temporary failure in name resolution
retiragroup.com,0.036,FAIL,Temporary failure in name resolution
rtsab.com,0.036,FAIL,Temporary failure in name resolution
running-sigi.de,0.037,FAIL,Temporary failure in name resolution
sdccdonline.net,0.043,FAIL,Temporary failure in name resolution
sheltercoveinn.com,0.038,FAIL,Temporary failure in name resolution
shivalikprints.com,0.037,FAIL,Temporary failure in name resolution
shqqaa.com,0.046,FAIL,Temporary failure in name resolution
simternet.com,0.037,FAIL,Temporary failure in name resolution
somode.com,0.049,FAIL,Temporary failure in name resolution
stunninggirls.net,0.037,FAIL,Temporary failure in name resolution
toaskfuture.com,0.040,FAIL,Temporary failure in name resolution
tottenhamhk.com,0.036,FAIL,Temporary failure in name resolution
triggerfish.se,0.036,FAIL,Temporary failure in name resolution
tuhafhaberler.com,0.079,FAIL,Temporary failure in name resolution
uahoy.net,0.036,FAIL,Temporary failure in name resolution
us.tf,0.039,FAIL,Temporary failure in name resolution
wpad,0.024,FAIL,Temporary failure in name resolution
wrestlingfanssuck.com,0.036,FAIL,Temporary failure in name resolution
zzxu.cn,0.048,FAIL,Temporary failure in name resolution
