timestamp,hostname,round_trip_ms,total_resolution_ms,result,response,errstr,transport,dns_ip,resolution_step,cache_status
2025-10-28 13:16:02,51cdngo.com,10011.132,10011.286,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:16:12,7sports.jp,10011.338,10011.384,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:16:22,a-loud.com,10010.905,10010.968,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:16:32,alkoholiker-clan.de,10011.001,10011.036,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:16:42,alltransport.ru,10011.336,10011.382,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:16:52,ambassadorsspfhf.org,10009.616,10009.657,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:02,amedeos.net,10011.143,10011.191,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:12,androgyn.org,10011.171,10011.235,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:22,asip.es,10011.185,10011.210,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:32,aspiringwriter.ca,10010.745,10010.782,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:42,atomicbase.com,10007.674,10007.706,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:17:52,bek.ir,10011.118,10011.166,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:02,bigjournalism.com,10011.300,10011.335,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:12,brfone.com,10011.269,10011.297,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:22,brown.edu,10011.018,10011.063,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:32,c3budiman.tk,10011.373,10011.449,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:42,capella.edu,10010.746,10010.771,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:18:52,casco.com,10011.037,10011.077,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:02,cellularfactory.com,10010.654,10010.695,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:12,cncdesign.co.kr,10010.958,10010.988,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:22,congsoxanh.com,10010.659,10010.690,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:32,consejodentistas.org,10010.960,10010.993,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:42,cornesoft.com,10010.765,10010.811,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:19:52,datadikdki.net,10010.674,10010.722,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:02,djoncbjcmv,10011.083,10011.122,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:12,doommovie.com,10010.843,10010.887,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:22,elettronix.com,10010.755,10010.787,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:32,fanzi.pl,10011.284,10011.317,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:42,fauzanalfi.com,10010.729,10010.781,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:20:52,gamepsvita.com,10010.657,10010.758,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:02,gaybodyblog.com,10006.924,10006.957,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:12,gba4iosapp.com,10010.518,10010.551,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:22,gmxwnlajnl,10009.943,10009.971,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:32,gucenmez.com,10010.787,10010.820,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:42,gvowebcast.com,10010.646,10010.675,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:21:52,heygal.net,10010.764,10010.790,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:02,hivelocitymedia.com,10010.665,10010.694,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:12,horn-elektronik.com,10010.713,10010.742,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:22,hotel.ch,10010.566,10010.594,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:32,huhgmbh.com,10010.878,10010.904,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:42,hznzcn.com,10011.011,10011.057,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:22:53,i12.de,10010.702,10010.727,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:03,isatap,10010.697,10010.723,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:13,isilon,10010.651,10010.689,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:23,itattoos.org,10010.676,10010.800,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:33,jabeye.org,10011.062,10011.093,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:43,jcwcn.com,10010.697,10010.734,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:23:53,k-dsl.de,10010.691,10010.722,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:03,ku.edu,10010.727,10010.757,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:13,lacuentaperdida.org,10010.758,10010.789,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:23,lgmonitorreview.nl,10010.677,10010.720,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:33,lighthouse.cc,10010.579,10010.608,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:43,likeminded.ca,10010.666,10010.690,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:24:53,ljyelectronic.com,10010.755,10010.788,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
2025-10-28 13:25:03,lookpage.org,10011.072,10011.102,FAIL,Temporary failure in name resolution,Temporary failure in name resolution,UDP,10.0.0.5,Single-hop,UNKNOWN
